House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
13,James Close,Ben,Baker,59,Head,Single,Male,Broadcast engineer,None,No Religion
14,James Close,Georgia,Pearce,50,Head,Married,Female,Physiotherapist,None,Christian
14,James Close,Samuel,Pearce,54,Husband,Married,Male,"Research officer, government",None,Christian
15,James Close,Phillip,Turner,60,Head,Married,Male,Transport planner,None,Christian
15,James Close,Pamela,Turner,61,Wife,Married,Female,"Education officer, environmental",None,Christian
15,James Close,Jamie,Turner,37,Son,Single,Male,Systems analyst,None,No Religion
15,James Close,Jean,Turner,28,Daughter,Single,Female,Haematologist,None,Christian
16,James Close,Jane,Carter,34,Head,Married,Female,Unemployed,None,Christian
16,James Close,Justin,Carter,35,Husband,Married,Male,"Engineer, land",None,Christian
16,James Close,Barbara,Carter,7,Daughter,NA,Female,Student,None,Christian
17,James Close,Jean,Holt,36,Head,Single,Female,Unemployed,None,Christian
17,James Close,Clifford,Hunt,36,Partner,Single,Male,"Horticulturist, amenity",None,Christian
17,James Close,Glenn,Holt,4,Son,NA,Male,Child,None,Christian
1,Chambers Lights,Jemma,Williams,50,Head,Widowed,Female,Dentist,None,No Religion
2,Chambers Lights,Christopher,Watson,47,Head,Single,Male,"Scientist, forensic",None,No Religion
3,Chambers Lights,Laura,Hayes,55,Head,Married,Female,Unemployed,None,Christian
3,Chambers Lights,Dean,Hayes,54,Husband,Married,Male,Unemployed,None,No Religion
3,Chambers Lights,Amanda,Hayes,14,Daughter,NA,Female,Student,None,Christian
4,Chambers Lights,Mohammad,Gibbs,49,Head,Divorced,Male,Heritage manager,None,Christian
4,Chambers Lights,Tracy,Gibbs,16,Daughter,NA,Female,Student,None,NA
5,Chambers Lights,Nathan,Chadwick,50,Head,Divorced,Male,Maintenance engineer,None,Christian
6,Chambers Lights,Stephanie,Harris,79,Head,Divorced,Female,Retired Acupuncturist,None,No Religion
7,Chambers Lights,Paul,Evans,29,Head,Single,Male,"Engineer, agricultural",None,Christian
8,Chambers Lights,Alison,Smith,47,Head,Single,Female,Camera operator,None,Christian
8,Chambers Lights,Callum,Morris,49,Partner,Single,Male,Chartered management accountant,None,No Religion
9,Chambers Lights,Graeme,Taylor,79,Head,Widowed,Male,Retired IT trainer,None,Christian
1,Westminster Port,Gillian,Bradley,39,Head,Divorced,Female,Unemployed,None,Christian
1,Westminster Port,Carole,Bradley,11,Daughter,NA,Female,Student,None,NA
2,Westminster Port,Christine,Moore,22,Head,Married,Female,Television production assistant,None,No Religion
2,Westminster Port,Henry,Moore,22,Husband,Married,Male,University Student,None,No Religion
3,Westminster Port,Teresa,Clark,70,Head,Married,Female,"Retired Restaurant manager, fast food",None,Christian
3,Westminster Port,Bryan,Clark,70,Husband,Married,Male,Retired English as a foreign language teacher,None,Christian
3,Westminster Port,Eleanor,Kirk,17,Granddaughter,NA,Female,Student,None,NA
4,Westminster Port,Melissa,Duncan,36,Head,Married,Female,Catering manager,None,No Religion
4,Westminster Port,Kieran,Duncan,41,Husband,Married,Male,Equality and diversity officer,None,No Religion
4,Westminster Port,Roy,Khan,44,Lodger,Single,Male,Web designer,None,No Religion
4,Westminster Port,Leslie,Foster,23,Lodger,Single,Male,Hydrographic surveyor,None,No Religion
4,Westminster Port,Danielle,Humphreys,60,Lodger,Single,Female,"Accountant, chartered certified",None,Christian
4,Westminster Port,Helen,Brown,45,Lodger,Single,Female,Advertising account executive,None,No Religion
5,Westminster Port,Katherine,Ellis,46,Head,Single,Female,Animal technologist,None,Christian
5,Westminster Port,Aaron,Ellis,55,Cousin,Divorced,Male,Sports development officer,None,No Religion
6,Westminster Port,Shirley,Khan,40,Head,Divorced,Female,Health physicist,None,Christian
6,Westminster Port,Ruth,Khan,5,Daughter,NA,Female,Student,None,NA
6,Westminster Port,Maurice,Khan,1,Son,NA,Male,Child,None,NA
6,Westminster Port,Pauline,Taylor,25,Lodger,Divorced,Female,"Surveyor, rural practice",None,No Religion
6,Westminster Port,Ross,Hunter,50,Lodger,Single,Male,Health physicist,None,Christian
7,Westminster Port,Kim,Williams,36,Head,Married,Female,Commercial/residential surveyor,None,No Religion
7,Westminster Port,Mohammad,Williams,37,Husband,Married,Male,Land/geomatics surveyor,None,No Religion
8,Westminster Port,Carole,Holt,37,Head,Married,Female,Theatre stage manager,None,No Religion
8,Westminster Port,Harry,Holt,34,Husband,Married,Male,Equality and diversity officer,None,No Religion
8,Westminster Port,Simon,Holt,16,Son,Married,Male,Student,None,No Religion
8,Westminster Port,Hugh,Holt,15,Son,NA,Male,Student,None,No Religion
8,Westminster Port,Amanda,Holt,12,Daughter,NA,Female,Student,None,No Religion
9,Westminster Port,Toby,Thompson,66,Head,Married,Male,Licensed conveyancer,None,No Religion
9,Westminster Port,Hannah,Thompson,64,Wife,Married,Female,"Engineer, chemical",None,No Religion
10,Westminster Port,Louis,Day,82,Head,Single,Male,"Retired Editor, commissioning",None,No Religion
11,Westminster Port,Joe,Perkins,72,Head,Married,Male,Retired Broadcast journalist,None,Christian
11,Westminster Port,Patricia,Perkins,69,Wife,Married,Female,"Retired Engineer, control and instrumentation",None,Christian
12,Westminster Port,Jack,Watson,65,Head,Married,Male,"Scientist, research (physical sciences)",None,Christian
12,Westminster Port,Linda,Watson,62,Wife,Married,Female,Animal technologist,None,Christian
13,Westminster Port,Jamie,Macdonald,87,Head,Married,Male,"Retired Designer, textile",None,Christian
13,Westminster Port,Jasmine,Macdonald,87,Wife,Married,Female,"Retired Designer, graphic",None,No Religion
14,Westminster Port,Sharon,Burrows,57,Head,Married,Female,"Designer, blown glass/stained glass",None,Christian
14,Westminster Port,Alexander,Burrows,59,Husband,Married,Male,Outdoor activities/education manager,None,Christian
14,Westminster Port,Mohammad,Burrows,24,Son,Single,Male,Magazine journalist,None,Christian
14,Westminster Port,Bernard,Burrows,0,Son,NA,Male,Child,None,No Religion
15,Westminster Port,Adrian,Burton,36,Head,Divorced,Male,Unemployed,None,Muslim
15,Westminster Port,Ellie,Burton,2,Daughter,NA,Female,Child,None,NA
16,Westminster Port,Adrian,Leonard,22,Head,Single,Male,University Student,None,Christian
16,Westminster Port,Paige,Harvey,20,Partner,Single,Female,English as a foreign language teacher,None,Christian
17,Westminster Port,Tom,Jackson,78,Head,Single,Male,Retired Orthoptist,None,No Religion
18,Westminster Port,Dorothy,Williams,60,Head,Married,Female,Scientific laboratory technician,None,Christian
18,Westminster Port,Owen,Williams,61,Husband,Married,Male,"Research officer, political party",None,No Religion
19,Westminster Port,Wendy,Hughes,41,Head,Single,Female,Unemployed,None,No Religion
19,Westminster Port,Kevin,Hughes,14,Son,NA,Male,Student,None,NA
19,Westminster Port,Trevor,Hughes,11,Son,NA,Male,Student,None,NA
19,Westminster Port,Nicola,Hughes,7,Daughter,NA,Female,Student,None,NA
19,Westminster Port,Elliott,Hughes,6,Son,NA,Male,Student,None,NA
20,Westminster Port,Allan,Clarke,68,Head,Married,Male,"Retired Horticulturist, amenity",None,No Religion
20,Westminster Port,Amelia,Clarke,68,Wife,Married,Female,"Retired Nurse, children's",None,No Religion
21,Westminster Port,Jane,Burrows,53,Head,Married,Female,Unemployed,None,Christian
21,Westminster Port,Glenn,Burrows,55,Husband,Married,Male,Ranger/warden,None,Christian
22,Westminster Port,Rachel,Thompson,45,Head,Single,Female,Unemployed,None,No Religion
22,Westminster Port,Guy,Thompson,9,Son,NA,Male,Student,None,NA
23,Westminster Port,Kim,Thorpe,27,Head,Single,Female,"Producer, television/film/video",None,No Religion
23,Westminster Port,Mohamed,Palmer,28,Partner,Single,Male,Medical illustrator,None,No Religion
24,Westminster Port,Bethany,Ross,24,Head,Married,Female,Glass blower/designer,None,No Religion
24,Westminster Port,Joel,Ross,24,Husband,Married,Male,Horticultural therapist,None,No Religion
24,Westminster Port,Jeffrey,Ross,6,Son,NA,Male,Student,None,No Religion
24,Westminster Port,Helen,Ross,4,Daughter,NA,Female,Child,None,No Religion
24,Westminster Port,Barbara,Ross,0,Daughter,Married,Female,Child,None,No Religion
25,Westminster Port,Rachel,Carter,73,Head,Divorced,Female,"Retired Engineer, site",None,Christian
25,Westminster Port,Lorraine,Evans,7,Granddaughter,NA,Female,Student,None,NA
26,Westminster Port,Vanessa,Fletcher,89,Head,Married,Female,"Retired Biochemist, clinical",None,Christian
26,Westminster Port,Damien,Fletcher,91,Husband,Married,Male,Retired Colour technologist,None,Christian
27,Westminster Port,Catherine,Kaur,36,Head,Single,Female,Paediatric nurse,None,No Religion
27,Westminster Port,Ellie,Kaur,11,Daughter,NA,Female,Student,None,NA
27,Westminster Port,Nicola,Kaur,7,Daughter,NA,Female,Student,None,NA
27,Westminster Port,Jemma,Kaur,6,Daughter,NA,Female,Student,None,NA
27,Westminster Port,Keith,Kaur,1,Son,NA,Male,Child,None,NA
28,Westminster Port,Ruth,Oliver,84,Head,Married,Female,Retired Hydrographic surveyor,None,No Religion
28,Westminster Port,Trevor,Oliver,83,Husband,Married,Male,Retired Physiological scientist,None,No Religion
29,Westminster Port,Lauren,Murray,34,Head,Married,Female,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
29,Westminster Port,Alan,Murray,38,Husband,Married,Male,"Producer, radio",None,Christian
29,Westminster Port,Judith,Murray,11,Daughter,NA,Female,Student,None,Christian
29,Westminster Port,Gary,Murray,7,Son,NA,Male,Student,None,No Religion
29,Westminster Port,Dylan,Murray,4,Son,NA,Male,Child,None,Christian
30,Westminster Port,Nicholas,Bruce,21,Head,Single,Male,University Student,None,Christian
30,Westminster Port,Keith,McCarthy,53,None,Single,Male,"Radiographer, therapeutic",None,Christian
31,Westminster Port,Edward,Hawkins,26,Head,Married,Male,"Scientist, research (medical)",None,No Religion
31,Westminster Port,Katherine,Hawkins,25,Wife,Married,Female,Energy manager,None,No Religion
32,Westminster Port,Kayleigh,Walker,73,Head,Married,Female,"Retired Therapist, horticultural",None,Christian
32,Westminster Port,Clifford,Walker,75,Husband,Married,Male,Retired Horticultural consultant,None,Christian
33,Westminster Port,Frederick,Cook,56,Head,Single,Male,Unemployed,None,Christian
33,Westminster Port,Shane,Turner,54,None,Single,Male,Theatre stage manager,None,Christian
33,Westminster Port,Claire,Harvey,43,None,Single,Female,"Designer, multimedia",None,No Religion
33,Westminster Port,Alexander,Fisher,56,None,Single,Male,Travel agency manager,None,Christian
33,Westminster Port,Deborah,Mitchell,44,None,Single,Female,"Buyer, retail",None,Christian
1,Capricorn Drive,Sian,Phillips,54,Head,Divorced,Female,Unemployed,None,Christian
1,Capricorn Drive,Suzanne,Little-Phillips,27,Daughter,Single,Female,"Doctor, general practice",None,Christian
1,Capricorn Drive,Gary,Little-Phillips,23,Son,Single,Male,Probation officer,None,No Religion
2,Capricorn Drive,Andrew,Hunt,34,Head,Single,Male,Software engineer,None,No Religion
3,Capricorn Drive,Damian,Bell,41,Head,Single,Male,"Administrator, education",None,Christian
3,Capricorn Drive,Leonard,Day,20,None,Single,Male,University Student,None,Christian
3,Capricorn Drive,Reece,Stephenson,45,None,Single,Male,"Biochemist, clinical",None,No Religion
4,Capricorn Drive,James,Barnes,68,Head,Divorced,Male,Retired Clothing/textile technologist,None,Christian
5,Capricorn Drive,Laura,Conway,30,Head,Single,Female,Geophysical data processor,None,Christian
6,Capricorn Drive,Marian,Sheppard,22,Head,Single,Female,University Student,None,
6,Capricorn Drive,Sandra,Browne,19,None,Single,Female,University Student,None,Christian
7,Capricorn Drive,Jemma,Sykes,30,Head,Single,Female,Magazine features editor,None,No Religion
8,Capricorn Drive,Sandra,Edwards,100,Head,Widowed,Female,Retired Meteorologist,None,Christian
9,Capricorn Drive,Garry,Nicholls,79,Head,Single,Male,Retired Mudlogger,None,No Religion
10,Capricorn Drive,Joseph,Perkins,82,Head,Widowed,Male,Retired Health service manager,None,No Religion
1,Smith Lock,Melissa,Wilson,19,Head,Single,Female,University Student,None,Christian
1,Smith Lock,Kyle,Walton,21,Partner,Single,Male,University Student,None,Christian
2,Smith Lock,Matthew,Williams,23,Head,Divorced,Male,IT consultant,None,Christian
3,Smith Lock,Sylvia,Jones,65,Head,Divorced,Female,"Programmer, applications",None,No Religion
4,Smith Lock,Antony,Goddard,68,Head,Single,Male,Retired Product manager,None,No Religion
5,Smith Lock,Anthony,Hart,20,Head,Single,Male,University Student,None,No Religion
6,Smith Lock,Christian,Davies,81,Head,Widowed,Male,Retired Sport and exercise psychologist,None,Christian
7,Smith Lock,Joshua,Robinson,28,Head,Single,Male,"Psychologist, sport and exercise",None,Christian
8,Smith Lock,Christian,Taylor,65,Head,Single,Male,Hydrologist,None,Christian
9,Smith Lock,Kim,Anderson-Haynes,42,Head,Single,Female,Unemployed,None,Christian
9,Smith Lock,Lesley,Anderson-Haynes,21,Daughter,Single,Female,University Student,None,Christian
9,Smith Lock,Craig,Anderson-Haynes,21,Son,Single,Male,Advertising account executive,None,Christian
10,Smith Lock,Abdul,Young,72,Head,Divorced,Male,Retired Art therapist,None,Christian
11,Smith Lock,Lawrence,Singh,68,Head,Widowed,Male,Unemployed,None,Christian
12,Smith Lock,Jasmine,Wright,70,Head,Single,Female,Retired Product manager,None,Christian
13,Smith Lock,Albert,Wood,45,Head,Single,Male,Patent examiner,None,No Religion
13,Smith Lock,Michelle,Little,42,Partner,Single,Female,"Engineer, land",None,No Religion
14,Smith Lock,Damian,Bartlett,72,Head,Divorced,Male,Retired Physiological scientist,None,Christian
15,Smith Lock,Sean,Bennett,29,Head,Single,Male,Accounting technician,None,No Religion
16,Smith Lock,Lynn,Cole,76,Head,Widowed,Female,Retired Animal nutritionist,None,No Religion
17,Smith Lock,Patricia,Reid,23,Head,Single,Female,Arboriculturist,None,Christian
18,Smith Lock,Maureen,Brown,19,Head,Single,Female,University Student,None,No Religion
18,Smith Lock,Donna,Dawson,19,None,Single,Female,University Student,None,No Religion
19,Smith Lock,Amy,Newman,66,Head,Divorced,Female,Banker,None,No Religion
20,Smith Lock,Rachel,Brown,40,Head,Married,Female,Television floor manager,None,Christian
20,Smith Lock,Adrian,Brown,42,Husband,Married,Male,Optometrist,None,Christian
20,Smith Lock,Jasmine,Brown,12,Daughter,NA,Female,Student,None,No Religion
21,Smith Lock,Derek,Goodwin,83,Head,Single,Male,Retired Emergency planning/management officer,None,Christian
22,Smith Lock,Tony,Byrne,62,Head,Single,Male,Geochemist,None,Sikh
23,Smith Lock,Graeme,Taylor,55,Head,Single,Male,Psychiatric nurse,None,Christian
24,Smith Lock,Vanessa,Elliott,51,Head,Single,Female,Database administrator,None,Christian
25,Smith Lock,Eileen,Leach,30,Head,Single,Female,Unemployed,None,Christian
25,Smith Lock,Marc,Leach,8,Son,NA,Male,Student,None,NA
25,Smith Lock,Josh,Leach,7,Son,NA,Male,Student,None,NA
1,Pearce Close,Paige,Gilbert,42,Head,Married,Female,"Scientist, forensic",None,No Religion
1,Pearce Close,Richard,Gilbert,44,Husband,Married,Male,Solicitor,None,No Religion
1,Pearce Close,Dominic,Goodwin,12,Son,NA,Male,Student,None,No Religion
2,Pearce Close,Jacob,Bruce,31,Head,Divorced,Male,Accounting technician,None,No Religion
3,Pearce Close,Robin,Allen,38,Head,Single,Male,"Teacher, English as a foreign language",None,Christian
3,Pearce Close,Annette,Hussain,39,None,Single,Female,"Designer, ceramics/pottery",None,Christian
3,Pearce Close,Megan,Fisher,19,None,Single,Female,University Student,None,No Religion
4,Pearce Close,Carol,Chapman,54,Head,Single,Female,"Clinical scientist, histocompatibility and immunogenetics",None,No Religion
4,Pearce Close,Clive,Baker,55,Partner,Single,Male,Immigration officer,None,No Religion
4,Pearce Close,Tony,Chapman,15,Son,NA,Male,Student,None,No Religion
5,Pearce Close,Henry,Campbell,54,Head,Single,Male,Unemployed,None,Christian
5,Pearce Close,Harriet,Bell,58,None,Single,Female,Special effects artist,None,No Religion
5,Pearce Close,Stacey,Butler,60,None,Single,Female,"Lecturer, higher education",None,Christian
6,Pearce Close,Julia,Norman,42,Head,Single,Female,Unemployed,None,Christian
6,Pearce Close,Marion,Norman,16,Daughter,NA,Female,Student,None,NA
6,Pearce Close,Wendy,Norman,15,Daughter,NA,Female,Student,None,NA
7,Pearce Close,Mohammed,Chamberlain,45,Head,Single,Male,Unemployed,None,No Religion
7,Pearce Close,Ellie,Bruce,58,None,Single,Female,"Nurse, mental health",None,Christian
7,Pearce Close,Jessica,Hewitt,56,None,Single,Female,"Lecturer, further education",None,Christian
7,Pearce Close,Ruth,Rowe,55,None,Single,Female,Financial planner,None,No Religion
8,Pearce Close,Jean,Birch,57,Head,Married,Female,Production engineer,None,Christian
8,Pearce Close,Scott,Birch,61,Husband,Married,Male,Special educational needs teacher,None,No Religion
8,Pearce Close,Kimberley,Birch,32,Daughter,Divorced,Female,Radio producer,None,No Religion
8,Pearce Close,Nicole,Birch,29,Daughter,Single,Female,Press sub,None,Christian
8,Pearce Close,George,Birch,28,Son,Single,Male,"Designer, industrial/product",None,No Religion
9,Pearce Close,Stuart,Iqbal,62,Head,Married,Male,"Lecturer, higher education",None,No Religion
9,Pearce Close,Heather,Iqbal,63,Wife,Married,Female,Ship broker,None,No Religion
9,Pearce Close,Leah,Iqbal,20,Daughter,Single,Female,University Student,None,No Religion
9,Pearce Close,Ian,Iqbal,17,Son,NA,Male,Student,None,No Religion
10,Pearce Close,Ashley,Booth,40,Head,Divorced,Male,Unemployed,None,Christian
10,Pearce Close,Jason,Booth,14,Son,NA,Male,Student,None,NA
10,Pearce Close,Adam,Booth,12,Son,NA,Male,Student,None,NA
11,Pearce Close,Jade,Wilkinson,77,Head,Married,Female,"Retired Editor, commissioning",None,No Religion
11,Pearce Close,Frank,Wilkinson,83,Husband,Married,Male,Retired Interpreter,None,No Religion
12,Pearce Close,Maria,Johnson,36,Head,Married,Female,"Scientist, biomedical",None,Christian
12,Pearce Close,Liam,Johnson,37,Husband,Married,Male,Hospital pharmacist,None,Christian
12,Pearce Close,Sian,Johnson,9,Daughter,NA,Female,Student,None,NA
12,Pearce Close,Frank,Johnson,4,Son,NA,Male,Child,None,NA
12,Pearce Close,Simon,Bailey,50,Lodger,Single,Male,Materials engineer,None,Christian
12,Pearce Close,Glen,Wong,59,Sibling,Divorced,Male,Radio producer,None,Christian
13,Pearce Close,Hannah,Hart,58,Head,Single,Female,Unemployed,None,Christian
13,Pearce Close,Nigel,Johnson,63,Partner,Single,Male,Passenger transport manager,None,No Religion
13,Pearce Close,Terry,Hart,29,Son,Divorced,Male,Chemical engineer,None,No Religion
13,Pearce Close,Marilyn,Hart,28,Daughter,Single,Female,"Geneticist, molecular",None,Christian
13,Pearce Close,Lauren,Hart,3,Daughter,NA,Female,Child,None,Christian
14,Pearce Close,Tracey,Owen,52,Head,Single,Female,Chartered public finance accountant,None,Christian
14,Pearce Close,Tom,O'Sullivan,40,None,Single,Male,Armed forces technical officer,Deaf,No Religion
14,Pearce Close,Adrian,Cunningham,61,None,Single,Male,Sport and exercise psychologist,None,Christian
15,Pearce Close,Abdul,Gough,32,Head,Married,Male,Psychiatric nurse,None,Hindu
15,Pearce Close,Valerie,Gough,28,Wife,Married,Female,Dramatherapist,None,Hindu
16,Pearce Close,Conor,White,19,Head,Single,Male,University Student,None,No Religion
16,Pearce Close,Jacob,Webb,21,None,Single,Male,University Student,None,Christian
16,Pearce Close,Arthur,Ward,20,None,Single,Male,University Student,None,Christian
17,Pearce Close,Yvonne,Howells,51,Head,Married,Female,Multimedia programmer,None,Christian
17,Pearce Close,Joel,Howells,56,Husband,Married,Male,Personal assistant,None,No Religion
17,Pearce Close,Marie,Howells,15,Daughter,NA,Female,Student,None,Christian
18,Pearce Close,Anna,Faulkner,49,Head,Married,Female,Tourism officer,None,Christian
18,Pearce Close,Lee,Faulkner,45,Husband,Married,Male,"Surveyor, insurance",None,Christian
18,Pearce Close,Teresa,Faulkner,23,Daughter,Single,Female,Newspaper journalist,None,Christian
18,Pearce Close,Mohammad,Faulkner,18,Son,Widowed,Male,Student,None,No Religion
18,Pearce Close,Gareth,Faulkner,10,Son,NA,Male,Student,None,Christian
19,Pearce Close,Hannah,Hughes,31,Head,Single,Female,Neurosurgeon,None,Christian
19,Pearce Close,Raymond,Spencer,35,Partner,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
19,Pearce Close,Elliot,Richardson,11,Son,NA,Male,Student,None,Christian
19,Pearce Close,Ian,Richardson,7,Son,NA,Male,Student,None,No Religion
20,Pearce Close,Suzanne,Parry,25,Head,Married,Female,Banker,None,Christian
20,Pearce Close,Mohammed,Parry,27,Husband,Married,Male,Chief Executive Officer,None,Christian
20,Pearce Close,Shaun,Parry,0,Son,NA,Male,Child,None,No Religion
20,Pearce Close,Katherine,Brookes,63,Lodger,Divorced,Female,Hospital pharmacist,None,No Religion
21,Pearce Close,Bethan,Powell,32,Head,Single,Female,Unemployed,None,No Religion
21,Pearce Close,Valerie,Walters,40,Cousin,Single,Female,"Therapist, sports",None,No Religion
21,Pearce Close,Jayne,Evans,27,Lodger,Single,Female,Operational investment banker,None,Hindu
22,Pearce Close,David,Carter,46,Head,Married,Male,"Clinical scientist, histocompatibility and immunogenetics",None,No Religion
22,Pearce Close,Sally,Carter,46,Wife,Married,Female,"Production assistant, radio",None,No Religion
22,Pearce Close,Janice,Carter,10,Daughter,NA,Female,Student,None,No Religion
23,Pearce Close,Joan,Harris,56,Head,Single,Female,Immigration officer,None,Christian
23,Pearce Close,Georgina,Harris,23,Daughter,Divorced,Female,"Conservation officer, nature",None,No Religion
24,Pearce Close,Naomi,Ingram,27,Head,Single,Female,Probation officer,None,Muslim
24,Pearce Close,Billy,O'Neill,27,Partner,Single,Male,Media buyer,None,No Religion
24,Pearce Close,Adam,Ingram,0,Son,NA,Male,Child,None,
25,Pearce Close,Eileen,Hughes,51,Head,Married,Female,Broadcast journalist,None,No Religion
25,Pearce Close,William,Hughes,53,Husband,Married,Male,Unemployed,None,No Religion
25,Pearce Close,Roy,Hughes,17,Son,NA,Male,Student,None,No Religion
26,Pearce Close,Kelly,Wright,54,Head,Married,Female,"Designer, ceramics/pottery",None,Christian
26,Pearce Close,Michael,Wright,60,Husband,Married,Male,Computer games developer,None,Christian
26,Pearce Close,Jeffrey,Wright,28,Son,Divorced,Male,Call centre manager,None,Christian
26,Pearce Close,Sophie,Wright,27,Daughter,Single,Female,Software engineer,None,Christian
26,Pearce Close,Albert,Wright,4,Son,NA,Male,Child,None,No Religion
27,Pearce Close,Anne,Carr,29,Head,Married,Female,"Administrator, local government",None,Muslim
27,Pearce Close,Neil,Carr,33,Husband,Married,Male,Unemployed,None,No Religion
27,Pearce Close,Douglas,Carr,8,Son,NA,Male,Student,None,No Religion
28,Pearce Close,Mandy,Bailey,56,Head,Single,Female,"Editor, magazine features",None,No Religion
28,Pearce Close,Katy,Bailey,17,Daughter,NA,Female,Student,None,NA
28,Pearce Close,Kieran,Bailey,16,Son,NA,Male,Student,None,NA
29,Pearce Close,Hayley,Lambert,42,Head,Married,Female,Merchant navy officer,None,No Religion
29,Pearce Close,Jeffrey,Lambert,42,Husband,Married,Male,"Surveyor, mining",None,No Religion
29,Pearce Close,Thomas,Lambert,23,Son,Single,Male,Holiday representative,None,No Religion
29,Pearce Close,Ryan,Lambert,10,Son,NA,Male,Student,None,No Religion
30,Pearce Close,Hannah,Davis,56,Head,Married,Female,Environmental manager,None,Christian
30,Pearce Close,Stanley,Davis,54,Husband,Married,Male,Unemployed,None,No Religion
30,Pearce Close,Sharon,Davis,18,Daughter,Divorced,Female,Student,None,No Religion
30,Pearce Close,Aaron,Davis,11,Son,NA,Male,Student,None,Christian
31,Pearce Close,Jean,Campbell,64,Head,Married,Female,Unemployed,None,Christian
31,Pearce Close,Martyn,Campbell,70,Husband,Married,Male,Retired Air cabin crew,None,No Religion
31,Pearce Close,Alison,Campbell,38,Daughter,Single,Female,Accounting technician,None,Christian
31,Pearce Close,Adrian,Campbell,34,Son,Single,Male,Multimedia specialist,None,Christian
31,Pearce Close,Adam,Campbell,33,Son,Divorced,Male,Chief Strategy Officer,None,No Religion
32,Pearce Close,Lynne,Payne,46,Head,Married,Female,Recycling officer,None,No Religion
32,Pearce Close,Bernard,Payne,51,Husband,Married,Male,Quality manager,None,No Religion
32,Pearce Close,Tracy,Payne,11,Adopted Daughter,NA,Female,Student,None,No Religion
33,Pearce Close,Joanne,Gray,45,Head,Single,Female,Barrister,None,Christian
33,Pearce Close,Christian,Young,47,Partner,Single,Male,Ecologist,None,Christian
33,Pearce Close,Darren,White,8,Son,NA,Male,Student,None,No Religion
34,Pearce Close,Gemma,Lamb,51,Head,Married,Female,Purchasing manager,None,Christian
34,Pearce Close,Charlie,Lamb,57,Husband,Married,Male,Historic buildings inspector/conservation officer,None,Christian
34,Pearce Close,Kimberley,Lamb,15,Daughter,NA,Female,Student,None,Christian
34,Pearce Close,Philip,Lamb,12,Son,NA,Male,Student,None,Christian
